question,correct_answer,content,answer_a,answer_b,answer_c,answer_d,question_image
1,B,Samantha has started filling the birdfeeders at school. The number of cups of birdseed she needs to finish filling the feeders is given by the expression 15 3/4 - 2(1/2 + 3/4). How many cups of birdseed does she need to finish filling the feeders?,10 1/2,13 1/4,13 1/2,15 1/2,
2,C,"A real estate agent earns a 6% commission on properties that she sells. If she sells a property for more than $300,000, she earns an additional 2% commission on the amount over $300,000. What is her total commission when she sells a property for $500,000?","$22,000","$30,000","$34,000","$40,000",
3,D,The price of a set of tires at Tire Mart is $420.00. One payment plan is to make monthly payments of $39.50 for a year. Customers who choose this payment plan pay interest. What percent of the price of the tires is the interest?,8.30%,9.40%,11.40%,12.90%,
4,D,A 3-ounce piece of fish contains about 1/4 of the recommended daily amount of protein for an adult female. There are 13 grams of protein in the 3-ounce piece of fish. What is the recommended daily amount of protein for an adult female?,3.25 grams,12 grams,39 grams,52 grams,
5,C,What is the slope of the graph of 2x - 3y = 6?,-2,-2/3,2/3,2,
6,B,"Dan bought a new computer for $900. Each year, the value of the computer decreased by 25% of the previous year_s value. At this rate, what can Dan expect the approximate value of the computer to be after 8 years?",$84,$90,$100,$113,q6.png
7,A,Which graph represents the equation y = 2/3 * x - 4?,q7a.png,q7b.png,q7c.png,q7d.png,
8,B,"Ann_s school wants to purchase hats to sell at the school store. The company that sells the hats charges an initial contract fee plus an amount for each hat. If the graph continued, how much would it cost the school to purchase 150 hats?",$28,$640,$720,"$1,200",q8.png
9,D,The profit Susan earns for making and selling x necklaces is represented by 10x - (4x + 27). Which expression is equivalent to 10x - (4x + 27)?,33,-21x,6x + 27,6x - 27,
10,B,The graph models the amount of money George has saved. Which equation models the same relationship?,y = 3/2 x + 30,y = 15x + 30,y = 30x + 3/2,y = 30x + 15,q10.png
11,A,What is the solution to -3(4x + 7) = 5x + 6?,-27/17,-27/7,1/17,15/17,
12,B,"The area of a rectangular room is 192 square feet. Using x for the length of the room, the equation x<sup>2</sup> - 4x = 192 can be solved to determine the dimensions of the room. What is the length of the room?",12 feet,16 feet,32 feet,48 feet,
13,A,"House T at T(-30, 42) and house M at M(52, 82) are located along an existing road. House S is located at S(-2, 108). The owners of house S need to build a driveway perpendicular to the existing road. What is the slope of the line that represents the driveway from house S perpendicular to the existing road?",-2.05,-0.487804878,20/41,41/20,q13.png
14,B,"Sharon drove 500 miles from college to her parents' house in 10.3 hours. She drove the same distance from her parents' house back to college. The average speed of her trip back to college was 5 miles per hour faster than the trip to her parents' house. To the nearest tenth, how many hours was the trip back to college? (Use d = rt.)",5.3,9.3,10.4,11.5,
15,C,"The graph shows the number of bags of popcorn sold at each of 5 baseball games. If the trend shown in the graph continues, how many bags of popcorn will be sold at game 8?",61,66,71,76,q15.png
16,A,Which 2 measures are the same for the data?,Mean and median,Mean and mode,Median and mode,Mode and range,q16.png
17,A,Albert knows that the probability of being assigned homework in his first period class is 40%. He knows that the probability of being assigned homework in his second-period class is 25%. What is the probability that Albert will be assigned homework in both classes?,10%,15%,35%,65%,
18,C,Which figure is the net of a rectangular pyramid?,q18a.png,q18b.png,q18c.png,q18d.png,
19,B,"Javier has a bag that contains 1 blue tile, 1 red tile, 1 yellow tile, and 1 green tile. He picks 1 tile from the bag 3 times, replacing the tile each time. What is the probability that he picks the blue tile exactly 2 times?",Jan-64,Mar-64,Sep-64,3-Feb,
20,C,"Marta is creating a scale drawing of a triangular park. The actual sides of the park measure 111 m, 222 m, and 280 m. She starts drawing her map by sketching 2 sides of a triangle measuring 111 mm and 222 mm. The third side of the park should be represented by a 280 mm long line, but when Marta measures the third side on her map, it is only 200 mm. What should she have done before drawing the sides of the park on her map?",Measured the sides of the park more carefully,Used a different scale to make the triangle fit,Used the measure of the angle between the first 2 sides of the park and drawn an angle congruent to that angle between the first 2 sides on her map,Used the measure of the angle between the first 2 sides of the park and drawn an angle proportional to the ratio of the scale drawing between the first 2 sides on her map,
21,D,"Latisha stands 16 feet from a wall where a scoreboard hangs. From 5 feet above the floor, the angle of elevation to the top of the scoreboard is 50Â­. To the nearest tenth of a foot, how far above the floor is the top of the scoreboard? ",15.3 feet,17.3 feet,19.1 feet,24.1 feet,q21.png
22,C,What is the surface area of the rectangular prism?,296 square feet,352 square feet,592 square feet,960 square feet,q22.png